PO_Number,Vendor_ID,SKU_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Units_Ordered,Units_Received,Unit_Cost,Total_Cost,Delivery_Status
PO001358,V016,LGT1802,2026-05-27,2026-06-10,2026-06-17,48,48,22.09,1060.32,Late
PO001359,V001,LGT1774,2025-11-27,2025-12-28,2025-12-22,120,120,96.12,11534.4,On Time
PO001360,V006,WAL0229,2026-01-16,2026-02-21,2026-02-18,36,36,27.89,1004.04,On Time
PO001361,V017,KIT0956,2025-06-05,2025-06-20,2025-06-22,24,18,37.23,893.52,On Time
PO001362,V007,TEX0498,2025-10-19,2025-11-08,2025-11-14,96,96,15.62,1499.52,Late
PO001363,V016,TAB0839,2025-03-07,2025-03-21,2025-04-01,48,48,184.04,8833.92,Late
PO001364,V017,TOW1439,2025-06-16,2025-07-01,2025-06-24,96,90,14.21,1364.16,On Time
PO001365,V009,FUR0635,2026-05-24,2026-07-11,2026-07-21,120,120,242.18,29061.6,Late
PO001366,V014,DEC0033,2025-07-16,2025-08-26,2025-08-22,36,36,20.12,724.32,On Time
PO001367,V014,SEA0710,2025-03-27,2025-05-07,2025-05-04,24,24,120.8,2899.2,On Time
PO001368,V011,TOW1461,2025-03-18,2025-04-29,2025-05-03,72,72,6.43,462.96,Late
PO001369,V015,FUR0650,2026-01-18,2026-02-11,2026-02-06,36,36,86.14,3101.04,On Time
PO001370,V017,TEX0485,2026-06-29,2026-07-14,2026-07-07,120,120,42.72,5126.4,On Time
PO001371,V010,BTH1567,2025-09-06,2025-10-28,2025-10-29,24,24,20.88,501.12,On Time
PO001372,V005,TEX0466,2026-02-28,2026-04-10,2026-04-08,72,72,38.37,2762.64,On Time
PO001373,V008,FUR0655,2026-05-02,2026-06-14,2026-06-09,120,120,104.15,12498.0,On Time
PO001374,V012,WAL0201,2026-05-29,2026-06-24,2026-06-27,96,96,28.64,2749.44,Late
PO001375,V015,TEX0453,2025-03-27,2025-04-20,2025-04-12,96,96,45.08,4327.68,On Time
PO001376,V018,FLR1845,2025-04-15,2025-04-30,2025-04-25,48,48,176.25,8460.0,On Time
PO001377,V014,SHT1307,2026-01-27,2026-03-09,2026-03-10,48,30,49.87,2393.76,On Time
PO001378,V006,TEX0515,2025-09-08,2025-10-14,2025-10-14,120,120,39.7,4764.0,On Time
PO001379,V003,BSK1634,2025-02-22,2025-04-25,2025-04-26,36,36,21.67,780.12,On Time
PO001380,V020,FRM2188,2025-08-17,2025-09-15,2025-09-17,24,24,30.6,734.4,On Time
PO001381,V011,TEX0467,2025-09-17,2025-10-29,2025-10-28,48,48,23.27,1116.96,On Time
PO001382,V018,TAB0808,2025-07-29,2025-08-13,2025-08-15,96,78,174.46,16748.16,On Time
PO001383,V017,DEC0139,2026-06-02,2026-06-17,2026-06-18,96,96,43.27,4153.92,On Time
PO001384,V005,KIT0860,2025-09-29,2025-11-09,2025-11-11,24,24,17.76,426.24,On Time
PO001385,V011,TEX0441,2026-05-16,2026-06-27,2026-07-04,48,48,27.97,1342.56,Late
PO001386,V019,CND2108,2026-03-05,2026-04-09,2026-04-07,96,96,17.22,1653.12,On Time
PO001387,V016,DUV1193,2025-09-08,2025-09-22,2025-09-19,96,96,46.71,4484.16,On Time
PO001388,V004,LGT1786,2025-03-19,2025-04-06,2025-04-07,48,48,49.21,2362.08,On Time
PO001389,V009,BSK1572,2025-05-19,2025-07-06,2025-07-15,24,24,27.41,657.84,Late
PO001390,V009,FUR0595,2026-04-11,2026-05-29,2026-05-24,48,48,113.99,5471.52,On Time
PO001391,V011,KIT0938,2025-05-03,2025-06-14,2025-06-18,36,36,13.25,477.0,Late
PO001392,V020,FLR1854,2025-08-27,2025-09-25,2025-09-25,24,24,136.7,3280.8,On Time
PO001393,V014,HAL2013,2025-02-18,2025-03-31,2025-04-02,24,24,19.53,468.72,On Time
PO001394,V010,CHR1941,2025-04-18,2025-06-09,2025-06-09,36,36,23.15,833.4,On Time
PO001395,V019,SHT1294,2026-02-23,2026-03-30,2026-04-01,96,96,35.0,3360.0,On Time
PO001396,V005,MIR0380,2025-06-18,2025-07-29,2025-07-26,24,24,123.64,2967.36,On Time
PO001397,V016,DEC0162,2025-03-06,2025-03-20,2025-03-28,120,120,47.72,5726.4,Late
PO001398,V013,TEX0464,2026-01-07,2026-01-30,2026-01-30,96,96,19.11,1834.56,On Time
PO001399,V010,WAL0281,2025-11-23,2026-01-14,2026-01-18,72,72,53.11,3823.92,Late
PO001400,V004,DEC0020,2025-04-04,2025-04-22,2025-04-23,96,96,49.6,4761.6,On Time
PO001401,V017,SRV1068,2025-10-03,2025-10-18,2025-10-15,72,72,32.38,2331.36,On Time
PO001402,V001,SHL1694,2025-03-12,2025-04-12,2025-04-12,96,96,57.84,5552.64,On Time
PO001403,V007,DEC0015,2025-05-20,2025-06-09,2025-06-28,48,48,12.15,583.2,Late
PO001404,V009,SEA0732,2025-12-08,2026-01-25,2026-01-26,96,96,266.59,25592.64,On Time
PO001405,V009,SEA0755,2026-06-04,2026-07-22,2026-07-26,48,48,153.29,7357.92,Late
PO001406,V013,WAL0316,2026-04-03,2026-04-26,2026-04-26,24,24,65.78,1578.72,On Time
PO001407,V011,FUR0627,2025-06-14,2025-07-26,2025-08-06,24,24,176.44,4234.56,Late
PO001408,V017,CND2139,2026-06-14,2026-06-29,2026-07-02,24,24,12.54,300.96,Late
PO001409,V020,TOW1491,2026-06-16,2026-07-15,2026-07-10,24,24,8.28,198.72,On Time
PO001410,V001,DUV1228,2025-04-01,2025-05-02,2025-05-04,24,24,52.45,1258.8,On Time
PO001411,V011,KIT0870,2025-12-18,2026-01-29,2026-01-31,72,72,36.98,2662.56,On Time
PO001412,V014,WIN2070,2025-02-28,2025-04-10,2025-04-09,36,24,23.16,833.76,On Time
PO001413,V019,WAL0305,2026-05-12,2026-06-16,2026-06-20,48,48,17.55,842.4,Late
PO001414,V019,DEC0102,2026-01-16,2026-02-20,2026-02-16,24,24,44.75,1074.0,On Time
PO001415,V001,FUR0654,2025-08-01,2025-09-01,2025-09-01,120,120,96.85,11622.0,On Time
PO001416,V018,TOW1465,2025-03-16,2025-03-31,2025-03-26,48,48,13.54,649.92,On Time
PO001417,V020,BTH1525,2025-05-22,2025-06-20,2025-06-19,48,42,9.94,477.12,On Time
PO001418,V013,UTL1116,2025-11-04,2025-11-27,2025-11-17,36,36,27.04,973.44,On Time
PO001419,V014,WAL0347,2025-09-09,2025-10-20,2025-10-15,24,24,50.34,1208.16,On Time
PO001420,V017,DUV1168,2025-02-20,2025-03-07,2025-03-06,72,72,93.84,6756.48,On Time
PO001421,V017,KIT0922,2025-02-26,2025-03-13,2025-03-15,96,96,35.75,3432.0,On Time
PO001422,V002,SRV1031,2025-05-16,2025-06-20,2025-07-04,72,72,33.2,2390.4,Late
PO001423,V012,FLR1873,2025-04-11,2025-05-07,2025-05-10,24,18,104.38,2505.12,Late
PO001424,V011,SRV1070,2026-06-16,2026-07-28,2026-08-11,120,120,25.3,3036.0,Late
PO001425,V002,DEC0054,2025-11-03,2025-12-08,2025-12-13,120,120,35.94,4312.8,Late
PO001426,V009,MIR0375,2025-03-07,2025-04-24,2025-04-22,48,48,67.55,3242.4,On Time
PO001427,V020,FUR0557,2025-09-09,2025-10-08,2025-10-08,96,96,147.41,14151.36,On Time
PO001428,V015,WIN2096,2025-02-22,2025-03-18,2025-03-28,48,48,41.88,2010.24,Late
PO001429,V014,WAL0319,2025-07-17,2025-08-27,2025-09-01,120,120,17.81,2137.2,Late
PO001430,V006,SUM2026,2026-03-26,2026-05-01,2026-05-06,48,48,55.53,2665.44,Late
PO001431,V018,WAL0228,2025-10-06,2025-10-21,2025-10-15,36,36,69.89,2516.04,On Time
PO001432,V014,CND2113,2026-06-30,2026-08-10,2026-08-15,120,120,25.11,3013.2,Late
PO001433,V002,MIR0351,2026-03-04,2026-04-08,2026-04-16,120,120,53.65,6438.0,Late
PO001434,V017,WIN2099,2025-07-17,2025-08-01,2025-07-31,96,96,16.34,1568.64,On Time
PO001435,V015,WAL0196,2025-08-25,2025-09-18,2025-09-18,24,24,50.27,1206.48,On Time
PO001436,V018,WAL0279,2025-07-28,2025-08-12,2025-08-21,48,36,74.76,3588.48,Late
PO001437,V002,TEX0497,2026-04-16,2026-05-21,2026-05-26,96,96,39.0,3744.0,Late
PO001438,V007,ORG1715,2026-05-19,2026-06-08,2026-06-13,96,84,32.53,3122.88,Late
PO001439,V012,BSK1633,2025-06-07,2025-07-03,2025-06-23,48,48,37.18,1784.64,On Time
PO001440,V018,DEC0071,2025-12-29,2026-01-13,2026-01-13,72,72,29.86,2149.92,On Time
PO001441,V017,TEX0459,2025-06-10,2025-06-25,2025-06-25,24,24,16.12,386.88,On Time
PO001442,V017,DUV1196,2025-08-19,2025-09-03,2025-09-06,96,84,105.66,10143.36,Late
PO001443,V009,PIL1395,2026-07-07,2026-08-24,2026-08-25,120,120,40.95,4914.0,On Time
PO001444,V017,TOW1428,2026-06-04,2026-06-19,2026-06-23,72,72,6.02,433.44,Late
PO001445,V009,ORG1735,2026-02-04,2026-03-24,2026-03-23,96,96,36.35,3489.6,On Time
PO001446,V003,FRM2194,2026-04-28,2026-06-29,2026-07-12,96,96,32.31,3101.76,Late
PO001447,V003,WAL0326,2025-12-27,2026-02-27,2026-02-25,24,18,66.91,1605.84,On Time
PO001448,V014,WAL0253,2025-07-17,2025-08-27,2025-08-26,48,48,67.94,3261.12,On Time
PO001449,V010,FRM2175,2025-03-12,2025-05-03,2025-05-04,72,72,37.18,2676.96,On Time
PO001450,V006,BTH1509,2025-08-18,2025-09-23,2025-09-29,120,120,28.61,3433.2,Late
PO001451,V004,DEC0020,2026-05-23,2026-06-10,2026-06-07,36,36,49.6,1785.6,On Time
PO001452,V003,FUR0583,2025-08-28,2025-10-29,2025-10-29,48,48,228.6,10972.8,On Time
PO001453,V007,FRM2186,2025-05-25,2025-06-14,2025-06-17,120,120,22.92,2750.4,Late
PO001454,V011,SRV1050,2025-04-24,2025-06-05,2025-06-09,24,24,37.34,896.16,Late
PO001455,V012,CHR1947,2026-01-24,2026-02-19,2026-02-27,24,24,45.24,1085.76,Late
PO001456,V016,TEX0542,2025-08-01,2025-08-15,2025-08-16,120,120,9.53,1143.6,On Time
PO001457,V017,CHR1945,2025-12-27,2026-01-11,2026-01-10,120,120,49.47,5936.4,On Time
PO001458,V011,SUM2030,2025-10-28,2025-12-09,2025-12-13,72,54,19.7,1418.4,Late
PO001459,V017,WAL0299,2026-01-27,2026-02-11,2026-02-11,96,96,43.13,4140.48,On Time
PO001460,V009,GFT2244,2025-06-14,2025-08-01,2025-08-03,24,24,9.94,238.56,On Time
PO001461,V015,UTL1113,2025-07-25,2025-08-18,2025-08-20,72,72,9.98,718.56,On Time
PO001462,V020,TEX0445,2025-09-18,2025-10-17,2025-10-10,36,36,27.87,1003.32,On Time
PO001463,V016,SRV1065,2025-09-08,2025-09-22,2025-09-30,72,72,26.57,1913.04,Late
PO001464,V003,PIL1343,2026-05-06,2026-07-07,2026-07-06,48,48,36.61,1757.28,On Time
PO001465,V009,WAL0275,2026-06-09,2026-07-27,2026-07-30,72,72,54.58,3929.76,Late
PO001466,V020,MIR0365,2026-05-12,2026-06-10,2026-06-11,96,90,50.38,4836.48,On Time
PO001467,V012,BTH1547,2025-08-28,2025-09-23,2025-09-25,72,66,5.25,378.0,On Time
PO001468,V017,SEA0696,2025-11-06,2025-11-21,2025-11-18,120,120,246.54,29584.8,On Time
PO001469,V007,SHT1232,2026-07-04,2026-07-24,2026-08-06,96,90,33.46,3212.16,Late
PO001470,V006,TEX0483,2025-09-30,2025-11-05,2025-11-08,36,36,11.7,421.2,Late
PO001471,V020,SHL1674,2025-12-25,2026-01-23,2026-01-26,48,36,79.14,3798.72,Late
PO001472,V001,WAL0300,2025-07-05,2025-08-05,2025-08-17,24,24,45.39,1089.36,Late
PO001473,V009,TOW1438,2025-04-16,2025-06-03,2025-06-09,120,120,29.3,3516.0,Late
PO001474,V005,ORG1760,2025-11-08,2025-12-19,2025-12-21,36,36,18.58,668.88,On Time
PO001475,V014,PIL1333,2026-02-04,2026-03-17,2026-03-13,96,96,47.4,4550.4,On Time
PO001476,V002,CHR1977,2025-06-23,2025-07-28,2025-08-03,96,96,48.76,4680.96,Late
PO001477,V011,KIT0918,2025-10-14,2025-11-25,2025-11-20,48,48,24.58,1179.84,On Time
PO001478,V010,ORG1755,2025-11-29,2026-01-20,2026-01-30,96,96,41.62,3995.52,Late
PO001479,V008,BTH1549,2026-01-14,2026-02-26,2026-02-26,48,48,13.61,653.28,On Time
PO001480,V013,SHL1696,2025-03-31,2025-04-23,2025-04-27,120,120,23.72,2846.4,Late
PO001481,V011,TEX0478,2026-03-06,2026-04-17,2026-05-04,48,36,36.67,1760.16,Late
PO001482,V005,KIT0926,2025-05-23,2025-07-03,2025-06-24,72,72,29.18,2100.96,On Time
PO001483,V011,KIT0904,2026-01-17,2026-02-28,2026-03-11,48,48,102.53,4921.44,Late
PO001484,V004,WAL0249,2025-05-09,2025-05-27,2025-05-17,120,120,52.36,6283.2,On Time
PO001485,V019,WAL0251,2026-01-21,2026-02-25,2026-02-24,72,72,37.36,2689.92,On Time
PO001486,V011,FLR1841,2025-04-03,2025-05-15,2025-05-27,120,120,70.67,8480.4,Late
PO001487,V006,TEX0515,2026-07-05,2026-08-10,2026-08-14,36,36,39.7,1429.2,Late
PO001488,V003,TEX0460,2026-01-07,2026-03-10,2026-03-07,120,120,9.33,1119.6,On Time
PO001489,V015,FRM2196,2025-09-12,2025-10-06,2025-10-07,72,72,17.07,1229.04,On Time
PO001490,V004,SHT1303,2025-08-14,2025-09-01,2025-08-29,36,36,60.45,2176.2,On Time
PO001491,V004,TAB0837,2026-01-19,2026-02-06,2026-02-07,48,48,179.6,8620.8,On Time
PO001492,V010,GFT2227,2025-10-08,2025-11-29,2025-12-09,96,96,10.67,1024.32,Late
PO001493,V008,TOW1495,2025-11-04,2025-12-17,2025-12-16,36,36,26.23,944.28,On Time
PO001494,V013,DEC0176,2026-06-20,2026-07-13,2026-07-17,24,24,19.03,456.72,Late
PO001495,V013,SHT1273,2025-10-18,2025-11-10,2025-11-12,48,48,72.36,3473.28,On Time
PO001496,V011,FRM2190,2025-04-08,2025-05-20,2025-05-25,120,120,15.31,1837.2,Late
PO001497,V011,DUV1198,2026-03-29,2026-05-10,2026-05-12,96,96,104.43,10025.28,On Time
PO001498,V006,TAB0806,2026-05-05,2026-06-10,2026-06-14,72,72,237.43,17094.96,Late
PO001499,V020,WAL0217,2025-02-27,2025-03-28,2025-03-28,96,96,60.89,5845.44,On Time
PO001500,V006,GFT2223,2026-02-06,2026-03-14,2026-03-20,120,120,25.38,3045.6,Late
PO001501,V019,LGT1811,2025-05-17,2025-06-21,2025-06-17,36,36,94.47,3400.92,On Time
PO001502,V009,DEC0181,2026-03-15,2026-05-02,2026-05-07,36,36,44.65,1607.4,Late
PO001503,V020,PEN1917,2025-11-29,2025-12-28,2025-12-25,96,96,148.18,14225.28,On Time
PO001504,V009,TAB0792,2026-06-14,2026-08-01,2026-08-07,24,6,321.91,7725.84,Late
PO001505,V005,SUM2040,2025-09-19,2025-10-30,2025-10-25,120,120,63.89,7666.8,On Time
PO001506,V001,TOW1457,2026-01-13,2026-02-13,2026-02-11,72,72,20.01,1440.72,On Time
PO001507,V020,FLR1854,2025-03-08,2025-04-06,2025-04-02,120,120,136.7,16404.0,On Time
PO001508,V017,PEN1899,2026-07-08,2026-07-23,2026-07-24,48,42,112.27,5388.96,On Time
PO001509,V004,WAL0246,2026-04-18,2026-05-06,2026-05-01,120,120,76.0,9120.0,On Time
PO001510,V014,DEC0030,2025-02-09,2025-03-22,2025-03-27,36,30,47.82,1721.52,Late
PO001511,V018,SEA0728,2025-05-14,2025-05-29,2025-05-25,96,96,304.71,29252.16,On Time
PO001512,V019,SHL1682,2025-02-09,2025-03-16,2025-03-14,96,96,59.49,5711.04,On Time
PO001513,V018,SHT1322,2026-01-31,2026-02-15,2026-02-15,36,36,24.76,891.36,On Time
PO001514,V007,SUM2058,2026-05-14,2026-06-03,2026-06-10,72,72,56.28,4052.16,Late
PO001515,V007,TAB0832,2025-11-12,2025-12-02,2025-12-10,96,96,198.31,19037.76,Late
PO001516,V009,FUR0575,2026-06-27,2026-08-14,2026-08-06,120,120,237.95,28554.0,On Time
PO001517,V005,CND2120,2025-05-16,2025-06-26,2025-06-27,96,96,19.81,1901.76,On Time
PO001518,V004,MIR0429,2025-10-12,2025-10-30,2025-11-06,72,72,68.32,4919.04,Late
PO001519,V017,PIL1348,2025-06-23,2025-07-08,2025-07-01,36,36,28.86,1038.96,On Time
PO001520,V020,GFT2248,2025-12-25,2026-01-23,2026-01-20,24,24,79.74,1913.76,On Time
PO001521,V016,GFT2222,2025-10-24,2025-11-07,2025-11-14,48,48,43.58,2091.84,Late
PO001522,V002,SHL1657,2025-03-01,2025-04-05,2025-04-06,96,78,78.8,7564.8,On Time
PO001523,V017,WAL0242,2026-07-04,2026-07-19,2026-07-20,96,96,25.57,2454.72,On Time
PO001524,V012,KIT0893,2026-05-28,2026-06-23,2026-06-16,36,36,45.03,1621.08,On Time
PO001525,V013,SHL1656,2025-07-27,2025-08-19,2025-08-22,96,96,88.13,8460.48,Late
PO001526,V010,UTL1084,2025-06-19,2025-08-10,2025-08-16,96,96,26.21,2516.16,Late
PO001527,V002,DUV1157,2026-06-11,2026-07-16,2026-07-26,96,84,39.97,3837.12,Late
PO001528,V008,BTH1561,2026-01-26,2026-03-10,2026-03-13,96,96,7.66,735.36,Late
PO001529,V004,SRV0983,2025-07-07,2025-07-25,2025-07-21,120,120,39.25,4710.0,On Time
PO001530,V012,SRV1064,2025-09-13,2025-10-09,2025-10-09,96,96,17.63,1692.48,On Time
PO001531,V007,UTL1086,2025-06-10,2025-06-30,2025-07-18,36,36,21.21,763.56,Late
PO001532,V015,DEC0082,2026-05-09,2026-06-02,2026-06-11,120,120,51.79,6214.8,Late
PO001533,V015,KIT0933,2026-01-12,2026-02-05,2026-02-12,120,120,42.06,5047.2,Late
PO001534,V010,WAL0338,2026-06-06,2026-07-28,2026-08-01,36,36,56.66,2039.76,Late
PO001535,V002,CND2103,2025-02-01,2025-03-08,2025-03-13,48,48,15.81,758.88,Late
PO001536,V012,CND2170,2025-05-27,2025-06-22,2025-06-21,36,24,33.92,1221.12,On Time
PO001537,V006,TOW1486,2025-05-30,2025-07-05,2025-07-10,36,36,32.33,1163.88,Late
PO001538,V001,SHL1680,2025-03-05,2025-04-05,2025-04-05,36,36,59.26,2133.36,On Time
PO001539,V020,FUR0565,2026-04-09,2026-05-08,2026-05-13,120,120,62.39,7486.8,Late
PO001540,V008,SRV1021,2026-05-08,2026-06-20,2026-06-22,72,72,55.6,4003.2,On Time
PO001541,V002,FLR1863,2025-09-15,2025-10-20,2025-10-15,24,24,111.27,2670.48,On Time
PO001542,V014,DEC0090,2025-03-24,2025-05-04,2025-05-14,36,36,54.69,1968.84,Late
PO001543,V011,KIT0870,2025-04-14,2025-05-26,2025-05-30,120,120,36.98,4437.6,Late
PO001544,V009,SHT1315,2025-11-23,2026-01-10,2026-01-10,48,48,25.64,1230.72,On Time
PO001545,V010,SRV0998,2026-02-10,2026-04-03,2026-04-02,96,96,9.74,935.04,On Time
PO001546,V009,PIL1358,2025-09-17,2025-11-04,2025-11-02,72,72,26.68,1920.96,On Time
PO001547,V018,FUR0671,2025-02-07,2025-02-22,2025-02-25,120,102,161.56,19387.2,Late
PO001548,V012,LGT1810,2025-10-08,2025-11-03,2025-10-31,96,96,38.32,3678.72,On Time
PO001549,V004,DUV1223,2025-12-27,2026-01-14,2026-01-11,36,36,97.85,3522.6,On Time
PO001550,V009,SEA0758,2026-04-27,2026-06-14,2026-06-12,36,36,118.27,4257.72,On Time
PO001551,V013,WAL0256,2026-02-11,2026-03-06,2026-03-02,72,72,24.73,1780.56,On Time
PO001552,V006,MIR0355,2026-02-01,2026-03-09,2026-03-07,72,72,45.77,3295.44,On Time
PO001553,V016,DUV1159,2025-05-20,2025-06-03,2025-05-31,36,36,41.49,1493.64,On Time
PO001554,V013,DEC0176,2025-06-29,2025-07-22,2025-07-19,24,24,19.03,456.72,On Time
PO001555,V013,BSK1630,2025-05-03,2025-05-26,2025-05-28,48,48,33.59,1612.32,On Time
PO001556,V019,FUR0611,2025-07-23,2025-08-27,2025-09-05,120,120,111.15,13338.0,Late
PO001557,V016,TAB0779,2025-10-06,2025-10-20,2025-10-12,96,96,301.6,28953.6,On Time
PO001558,V010,TEX0507,2025-04-16,2025-06-07,2025-06-14,36,36,37.24,1340.64,Late
PO001559,V005,TAB0823,2025-05-22,2025-07-02,2025-07-07,36,36,200.34,7212.24,Late
PO001560,V017,TEX0459,2026-06-03,2026-06-18,2026-06-26,96,96,16.12,1547.52,Late
PO001561,V010,TOW1424,2025-08-25,2025-10-16,2025-10-22,36,36,6.96,250.56,Late
PO001562,V012,CHR1944,2025-04-01,2025-04-27,2025-04-22,36,36,19.68,708.48,On Time
PO001563,V009,SHT1258,2025-12-25,2026-02-11,2026-02-13,120,108,76.41,9169.2,On Time
PO001564,V005,ORG1760,2026-04-18,2026-05-29,2026-05-22,36,36,18.58,668.88,On Time
PO001565,V010,SHL1695,2025-02-21,2025-04-14,2025-04-19,120,120,26.18,3141.6,Late
PO001566,V009,MIR0384,2026-01-08,2026-02-25,2026-02-23,72,72,39.56,2848.32,On Time
PO001567,V011,LGT1830,2025-06-15,2025-07-27,2025-07-28,96,96,21.43,2057.28,On Time
PO001568,V012,WIN2081,2025-07-18,2025-08-13,2025-08-18,48,48,31.91,1531.68,Late
PO001569,V012,SUM2021,2026-02-15,2026-03-13,2026-03-21,24,24,32.1,770.4,Late
PO001570,V014,MIR0353,2026-01-11,2026-02-21,2026-02-18,72,72,72.88,5247.36,On Time
PO001571,V005,WAL0243,2026-06-04,2026-07-15,2026-07-18,72,72,30.27,2179.44,Late
PO001572,V001,DUV1191,2025-06-05,2025-07-06,2025-07-03,48,48,45.27,2172.96,On Time
PO001573,V012,TEX0473,2026-01-27,2026-02-22,2026-02-19,72,72,42.96,3093.12,On Time
PO001574,V006,TAB0775,2026-04-23,2026-05-29,2026-05-24,120,120,229.55,27546.0,On Time
PO001575,V015,TOW1416,2026-03-06,2026-03-30,2026-03-30,36,36,25.09,903.24,On Time
PO001576,V011,BSK1598,2025-08-05,2025-09-16,2025-10-02,120,120,39.79,4774.8,Late
PO001577,V014,TOW1456,2025-10-21,2025-12-01,2025-12-01,36,36,28.92,1041.12,On Time
PO001578,V013,FRM2176,2025-09-21,2025-10-14,2025-10-15,72,72,27.43,1974.96,On Time
PO001579,V008,HAL1989,2026-03-15,2026-04-27,2026-05-03,48,48,41.05,1970.4,Late
PO001580,V008,DEC0169,2025-08-09,2025-09-21,2025-09-18,72,72,45.33,3263.76,On Time
PO001581,V015,CND2102,2025-04-11,2025-05-05,2025-05-06,120,120,16.22,1946.4,On Time
PO001582,V007,WAL0289,2025-10-28,2025-11-17,2025-11-26,36,36,25.21,907.56,Late
PO001583,V009,DUV1192,2025-06-18,2025-08-05,2025-08-04,120,120,76.51,9181.2,On Time
PO001584,V020,FLR1854,2025-10-12,2025-11-10,2025-11-13,120,120,136.7,16404.0,Late
PO001585,V005,ORG1760,2025-12-03,2026-01-13,2026-01-19,36,36,18.58,668.88,Late
PO001586,V017,DEC0168,2025-02-28,2025-03-15,2025-03-20,48,48,31.37,1505.76,Late
PO001587,V004,MIR0423,2026-03-10,2026-03-28,2026-03-30,24,24,66.65,1599.6,On Time
PO001588,V011,TAB0787,2026-06-12,2026-07-24,2026-07-29,36,24,168.53,6067.08,Late
PO001589,V014,SRV1047,2025-05-19,2025-06-29,2025-06-30,72,72,56.95,4100.4,On Time
PO001590,V009,CND2132,2025-11-26,2026-01-13,2026-01-14,36,36,20.68,744.48,On Time
PO001591,V003,KIT0937,2025-05-03,2025-07-04,2025-07-04,36,36,22.57,812.52,On Time
PO001592,V014,SEA0676,2025-02-28,2025-04-10,2025-04-12,120,120,131.0,15720.0,On Time
PO001593,V010,LGT1784,2026-06-22,2026-08-13,2026-08-07,24,24,35.56,853.44,On Time
PO001594,V008,DEC0169,2025-10-22,2025-12-04,2025-12-03,96,96,45.33,4351.68,On Time
PO001595,V011,DUV1227,2026-02-18,2026-04-01,2026-04-12,24,24,104.05,2497.2,Late
PO001596,V012,PIL1361,2025-03-31,2025-04-26,2025-04-21,120,120,38.88,4665.6,On Time
PO001597,V014,FRM2187,2025-05-01,2025-06-11,2025-06-13,72,72,10.68,768.96,On Time
PO001598,V012,SHL1690,2026-05-04,2026-05-30,2026-05-28,36,36,41.32,1487.52,On Time
PO001599,V010,WAL0287,2026-05-14,2026-07-05,2026-07-01,24,24,57.5,1380.0,On Time
PO001600,V004,SHT1303,2025-06-26,2025-07-14,2025-07-24,48,48,60.45,2901.6,Late
PO001601,V010,PIL1364,2026-05-09,2026-06-30,2026-07-04,24,24,34.29,822.96,Late
PO001602,V019,SHT1294,2025-12-28,2026-02-01,2026-01-28,120,120,35.0,4200.0,On Time
PO001603,V016,DEC0162,2026-04-15,2026-04-29,2026-05-12,36,36,47.72,1717.92,Late
PO001604,V007,SHT1278,2025-08-28,2025-09-17,2025-09-25,72,66,32.94,2371.68,Late
PO001605,V007,WAL0238,2025-08-07,2025-08-27,2025-08-27,120,120,69.9,8388.0,On Time
PO001606,V005,WAL0252,2025-04-25,2025-06-05,2025-06-06,72,66,21.67,1560.24,On Time
PO001607,V017,FUR0668,2025-11-13,2025-11-28,2025-11-28,96,96,151.44,14538.24,On Time
PO001608,V011,FLR1867,2026-03-01,2026-04-12,2026-04-15,36,36,124.28,4474.08,Late
PO001609,V007,UTL1112,2025-12-08,2025-12-28,2026-01-01,96,96,13.66,1311.36,Late
PO001610,V014,PIL1353,2025-05-24,2025-07-04,2025-07-06,24,24,51.11,1226.64,On Time
PO001611,V009,LGT1775,2026-07-02,2026-08-19,2026-08-17,120,120,110.02,13202.4,On Time
PO001612,V016,GFT2245,2025-04-15,2025-04-29,2025-05-04,24,24,49.79,1194.96,Late
PO001613,V008,PIL1389,2025-05-24,2025-07-06,2025-07-02,120,120,51.44,6172.8,On Time
PO001614,V019,CHR1922,2026-01-15,2026-02-19,2026-02-16,48,48,61.11,2933.28,On Time
PO001615,V002,DEC0037,2025-03-01,2025-04-05,2025-04-14,96,96,36.83,3535.68,Late
PO001616,V011,DEC0178,2025-04-25,2025-06-06,2025-06-20,96,96,37.9,3638.4,Late
PO001617,V004,FUR0620,2025-12-09,2025-12-27,2025-12-28,120,120,232.19,27862.8,On Time
PO001618,V003,BTH1534,2025-07-15,2025-09-15,2025-09-20,72,72,12.89,928.08,Late
PO001619,V016,KIT0859,2025-03-29,2025-04-12,2025-04-30,36,36,84.1,3027.6,Late
PO001620,V002,DUV1157,2025-11-28,2026-01-02,2026-01-05,72,72,39.97,2877.84,Late
PO001621,V007,DEC0092,2026-06-06,2026-06-26,2026-06-30,72,72,52.78,3800.16,Late
PO001622,V019,TEX0474,2026-04-06,2026-05-11,2026-05-18,120,120,14.31,1717.2,Late
PO001623,V012,MIR0364,2026-06-15,2026-07-11,2026-07-11,36,36,88.39,3182.04,On Time
PO001624,V012,KIT0953,2025-03-25,2025-04-20,2025-04-27,36,36,50.32,1811.52,Late
PO001625,V014,PEN1893,2025-05-15,2025-06-25,2025-06-28,24,24,170.55,4093.2,Late
PO001626,V018,BSK1608,2025-03-01,2025-03-16,2025-03-09,96,96,18.76,1800.96,On Time
PO001627,V009,MIR0401,2025-07-13,2025-08-30,2025-08-31,120,120,37.16,4459.2,On Time
